epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,565.546,1.37008,2.43483,2.71085,1.2451,0.57947,0.29402,0.32973,0.21812,0.57261,0.28381,0.32205,0.17229,1.31943,2.32864,2.53043,1.22757,0.00126434,0.00126434,0.00126434
31,579.048,1.36896,2.43038,2.65653,1.23976,0.56382,0.31564,0.33631,0.22637,0.55787,0.30632,0.32907,0.18753,1.28895,2.30397,2.50135,1.21453,0.00125046,0.00125046,0.00125046
32,590.592,1.34103,2.35199,2.53606,1.22706,0.49218,0.31826,0.32894,0.22055,0.49564,0.29175,0.31443,0.17157,1.28664,2.36839,2.59116,1.20953,0.00123657,0.00123657,0.00123657
33,602.987,1.3264,2.32701,2.48434,1.20789,0.50991,0.32121,0.33399,0.22061,0.5539,0.3072,0.32522,0.17156,1.2927,2.33937,2.51825,1.21157,0.00122269,0.00122269,0.00122269
34,617.285,1.28407,2.33835,2.46439,1.19562,0.49499,0.33786,0.33698,0.22194,0.54567,0.31371,0.33014,0.17849,1.28104,2.30233,2.48322,1.21278,0.0012088,0.0012088,0.0012088
35,636.63,1.39196,2.47331,2.60985,1.25828,0.56224,0.29925,0.32835,0.21637,0.57076,0.28758,0.31809,0.17109,1.30182,2.3288,2.55951,1.21326,0.00119492,0.00119492,0.00119492
36,648.873,1.33827,2.43795,2.63424,1.23441,0.60636,0.29634,0.3275,0.21428,0.60628,0.28642,0.31685,0.17586,1.31173,2.29038,2.55249,1.22053,0.00118103,0.00118103,0.00118103
37,699.859,1.38151,2.49899,2.684,1.25556,0.56286,0.31008,0.32356,0.21488,0.52018,0.30805,0.31508,0.17512,1.28273,2.28737,2.54076,1.21897,0.00116715,0.00116715,0.00116715
38,713.847,1.31808,2.36983,2.61429,1.21895,0.54122,0.31741,0.32753,0.21749,0.51128,0.30604,0.31571,0.17193,1.28441,2.29405,2.49429,1.21577,0.00115327,0.00115327,0.00115327
39,726.708,1.25959,2.30316,2.47334,1.18644,0.57862,0.31352,0.33906,0.22981,0.53521,0.2975,0.32329,0.18169,1.27447,2.24407,2.43307,1.21514,0.00113938,0.00113938,0.00113938
