epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,409.704,1.74442,2.39761,1.49861,0.72932,0.72217,0.76309,0.31235,2.02135,2.33333,1.65334,0.00109773,0.00109773,0.00109773
43,419.337,1.73677,2.33865,1.49377,0.76148,0.73942,0.78403,0.3137,2.01231,2.36249,1.67903,0.00108384,0.00108384,0.00108384
44,429.919,1.71968,2.28844,1.48232,0.7472,0.71148,0.75327,0.29243,2.08662,2.35571,1.7524,0.00106996,0.00106996,0.00106996
45,438.83,1.75988,2.35088,1.49193,0.74857,0.70478,0.73536,0.28264,2.16651,2.49856,1.77076,0.00105607,0.00105607,0.00105607
46,447.254,1.70827,2.25389,1.46413,0.75649,0.70376,0.77566,0.31364,2.04277,2.35006,1.68311,0.00104219,0.00104219,0.00104219
47,456.011,1.69818,2.29198,1.47288,0.76005,0.73464,0.78626,0.3287,1.95797,2.25025,1.66019,0.0010283,0.0010283,0.0010283
48,465.027,1.72766,2.27224,1.49982,0.76443,0.70111,0.75609,0.28459,2.08187,2.34444,1.71952,0.00101442,0.00101442,0.00101442
49,473.436,1.70264,2.3263,1.47461,0.77943,0.71499,0.79337,0.31198,2.00339,2.26488,1.67966,0.00100053,0.00100053,0.00100053
50,481.405,1.67744,2.20397,1.45167,0.75603,0.72887,0.78382,0.30042,2.0755,2.21523,1.71931,0.000986649,0.000986649,0.000986649
51,490.655,1.72096,2.17805,1.48556,0.72713,0.76033,0.78085,0.30776,2.06882,2.26769,1.72664,0.000972764,0.000972764,0.000972764
52,499.451,1.67545,2.20053,1.4607,0.76455,0.73099,0.78147,0.30449,2.08948,2.34146,1.70338,0.000958879,0.000958879,0.000958879
53,509.192,1.68611,2.19794,1.4624,0.79777,0.75459,0.81851,0.31897,2.09538,2.1787,1.69546,0.000944995,0.000944995,0.000944995
54,517.944,1.70374,2.19094,1.45248,0.75331,0.76462,0.78432,0.31149,2.09166,2.26459,1.69872,0.00093111,0.00093111,0.00093111
55,526.963,1.70192,2.26968,1.47969,0.74018,0.77385,0.78943,0.31671,2.05578,2.24311,1.67988,0.000917225,0.000917225,0.000917225
56,537.79,1.70082,2.26392,1.46291,0.74911,0.72647,0.73086,0.27036,2.16041,2.40181,1.76277,0.00090334,0.00090334,0.00090334
57,546.234,1.65729,2.20611,1.4402,0.78241,0.73162,0.77617,0.31302,2.05462,2.25897,1.69784,0.000889456,0.000889456,0.000889456
58,556.134,1.67524,2.13021,1.45693,0.73357,0.73874,0.73749,0.26705,2.17841,2.38202,1.77395,0.000875571,0.000875571,0.000875571
59,565.51,1.7249,2.30925,1.49581,0.7645,0.75845,0.7878,0.31551,1.96826,2.19812,1.65933,0.000861686,0.000861686,0.000861686
60,574.263,1.69735,2.22013,1.47748,0.79312,0.70524,0.77805,0.28377,2.11777,2.37641,1.7447,0.000847801,0.000847801,0.000847801
61,583.253,1.68901,2.20461,1.47089,0.77363,0.69844,0.76539,0.28607,2.10928,2.35942,1.74706,0.000833917,0.000833917,0.000833917
62,592.473,1.67957,2.22512,1.45694,0.79691,0.73257,0.78804,0.29568,2.07052,2.24243,1.69882,0.000820032,0.000820032,0.000820032
63,602.346,1.6385,2.06133,1.42584,0.7726,0.77755,0.79274,0.30419,2.07441,2.24252,1.70164,0.000806147,0.000806147,0.000806147
64,610.897,1.68807,2.16171,1.45501,0.7409,0.79355,0.8033,0.33254,1.99286,2.13245,1.66316,0.000792263,0.000792263,0.000792263
65,619.697,1.67033,2.10382,1.44596,0.76673,0.71422,0.78357,0.29075,2.15574,2.34137,1.73156,0.000778378,0.000778378,0.000778378
66,628.389,1.67954,2.13407,1.44044,0.80351,0.76501,0.79445,0.32517,2.02785,2.14088,1.65808,0.000764493,0.000764493,0.000764493
67,637.027,1.63273,2.09181,1.41892,0.77975,0.72929,0.77983,0.28838,2.1402,2.29217,1.75534,0.000750608,0.000750608,0.000750608
68,646.822,1.61984,2.04874,1.41959,0.76605,0.73705,0.77259,0.30044,2.09958,2.26315,1.72757,0.000736724,0.000736724,0.000736724
69,655.486,1.65321,2.0637,1.42771,0.77781,0.74281,0.78581,0.316,2.08371,2.15026,1.71377,0.000722839,0.000722839,0.000722839
70,665.13,1.65966,2.02598,1.43764,0.73793,0.75294,0.77973,0.31957,2.07028,2.26503,1.69571,0.000708954,0.000708954,0.000708954
71,673.585,1.6294,2.00281,1.41553,0.75129,0.76588,0.76664,0.29292,2.13833,2.21014,1.75492,0.00069507,0.00069507,0.00069507
72,682.38,1.66186,2.08486,1.45487,0.77125,0.76347,0.77698,0.2915,2.12181,2.15563,1.73809,0.000681185,0.000681185,0.000681185
73,691.83,1.60402,1.9472,1.4062,0.75116,0.75043,0.78183,0.29958,2.12972,2.20208,1.7357,0.0006673,0.0006673,0.0006673
74,701.551,1.63057,2.05855,1.40962,0.75341,0.79623,0.80614,0.32324,2.06476,2.09645,1.69641,0.000653415,0.000653415,0.000653415
75,710.274,1.62779,1.98895,1.40506,0.78909,0.75662,0.79011,0.30517,2.17856,2.11232,1.76164,0.000639531,0.000639531,0.000639531
76,719.362,1.61889,1.9786,1.40301,0.7904,0.76822,0.81599,0.30412,2.13552,2.08946,1.74573,0.000625646,0.000625646,0.000625646
77,729.6,1.62858,2.00761,1.41376,0.77158,0.75671,0.79844,0.31067,2.08544,2.10818,1.74176,0.000611761,0.000611761,0.000611761
78,737.992,1.58263,1.95128,1.37802,0.78735,0.73756,0.79833,0.30442,2.18159,2.23599,1.75954,0.000597876,0.000597876,0.000597876
79,746.456,1.61583,1.99245,1.40371,0.7981,0.7571,0.80879,0.32366,2.12315,2.13976,1.70696,0.000583992,0.000583992,0.000583992
80,756.208,1.60258,1.97992,1.39492,0.76148,0.75679,0.7884,0.29882,2.17677,2.20295,1.7474,0.000570107,0.000570107,0.000570107
81,764.797,1.58906,1.957,1.39618,0.78417,0.75557,0.78892,0.31092,2.07201,2.17472,1.69795,0.000556222,0.000556222,0.000556222
82,773.641,1.59557,1.94671,1.38703,0.77873,0.73144,0.78673,0.30224,2.12652,2.19314,1.74227,0.000542338,0.000542338,0.000542338
83,783.301,1.59387,1.92049,1.38308,0.77406,0.75311,0.80027,0.31097,2.10955,2.08048,1.71456,0.000528453,0.000528453,0.000528453
84,793.523,1.64065,1.96999,1.41232,0.8314,0.74333,0.8086,0.32554,2.0555,2.02712,1.67802,0.000514568,0.000514568,0.000514568
85,804.789,1.5925,1.8718,1.38755,0.81246,0.7511,0.81068,0.32448,2.0819,2.0962,1.70162,0.000500683,0.000500683,0.000500683
86,817.14,1.56819,1.84296,1.37308,0.77472,0.76548,0.80399,0.32413,2.08041,2.1147,1.70071,0.000486799,0.000486799,0.000486799
87,825.853,1.56851,1.87625,1.38126,0.7678,0.75594,0.77056,0.29547,2.13119,2.19608,1.74517,0.000472914,0.000472914,0.000472914
88,834.933,1.57342,1.88082,1.37414,0.79147,0.7409,0.7883,0.30383,2.09458,2.14074,1.71974,0.000459029,0.000459029,0.000459029
89,844.373,1.56266,1.79896,1.36869,0.7579,0.74181,0.78325,0.2964,2.16929,2.22422,1.76635,0.000445145,0.000445145,0.000445145
