epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,609.845,1.72633,2.14356,1.6218,0.79047,0.70631,0.77206,0.29277,2.14484,2.25226,1.88431,0.00109773,0.00109773,0.00109773
43,623.359,1.73703,2.19333,1.62151,0.79703,0.69661,0.78038,0.31896,2.0381,2.24586,1.85379,0.00108384,0.00108384,0.00108384
44,636.923,1.68824,2.17938,1.57481,0.7654,0.75025,0.78968,0.32073,2.0491,2.22074,1.85662,0.00106996,0.00106996,0.00106996
45,654.233,1.71586,2.11358,1.576,0.8157,0.73089,0.77822,0.29424,2.13683,2.13065,1.93111,0.00105607,0.00105607,0.00105607
46,669.345,1.67726,2.00971,1.56609,0.77379,0.7642,0.81373,0.32014,2.02054,2.12235,1.85051,0.00104219,0.00104219,0.00104219
47,683.016,1.65294,2.08249,1.55792,0.80445,0.7073,0.79389,0.32454,2.04367,2.10798,1.86985,0.0010283,0.0010283,0.0010283
48,699.28,1.69423,2.06441,1.60167,0.82818,0.73179,0.79933,0.3079,2.13713,2.11183,1.93473,0.00101442,0.00101442,0.00101442
49,713.056,1.67514,2.05575,1.57842,0.79802,0.76982,0.8145,0.32244,2.1081,2.0683,1.8834,0.00100053,0.00100053,0.00100053
50,726.533,1.66005,1.98133,1.57174,0.7826,0.7142,0.78314,0.30337,2.16325,2.18247,1.92346,0.000986649,0.000986649,0.000986649
51,740.024,1.67181,2.02181,1.57605,0.81239,0.72691,0.79638,0.30786,2.12795,2.19169,1.91278,0.000972764,0.000972764,0.000972764
52,753.759,1.64054,2.01082,1.55961,0.77176,0.75628,0.79241,0.31407,2.14996,2.14605,1.92335,0.000958879,0.000958879,0.000958879
53,767.467,1.66603,1.99759,1.57305,0.80421,0.73322,0.79813,0.31521,2.09915,2.01982,1.85809,0.000944995,0.000944995,0.000944995
54,781.019,1.64836,1.9704,1.52936,0.7923,0.75611,0.8045,0.31696,2.0793,2.13899,1.84349,0.00093111,0.00093111,0.00093111
55,794.614,1.66569,2.0897,1.58105,0.82596,0.72288,0.79861,0.30898,2.15182,2.13374,1.93947,0.000917225,0.000917225,0.000917225
56,808.099,1.65845,2.0454,1.55775,0.80265,0.72174,0.76773,0.29182,2.19978,2.17856,1.93692,0.00090334,0.00090334,0.00090334
57,821.601,1.64454,1.99805,1.53578,0.82232,0.71934,0.79212,0.30758,2.15393,2.08703,1.90525,0.000889456,0.000889456,0.000889456
58,834.99,1.63246,1.92002,1.55567,0.81946,0.69511,0.78051,0.29731,2.2133,2.11154,1.95,0.000875571,0.000875571,0.000875571
59,849.047,1.68528,2.06104,1.59828,0.81966,0.74191,0.81479,0.32332,2.05353,1.99417,1.86219,0.000861686,0.000861686,0.000861686
60,863.212,1.64632,1.99442,1.56488,0.75836,0.69486,0.75179,0.2614,2.25074,2.18155,1.98346,0.000847801,0.000847801,0.000847801
61,876.618,1.65271,1.99014,1.55932,0.82498,0.68925,0.79746,0.29954,2.16062,2.09654,1.91295,0.000833917,0.000833917,0.000833917
62,890.023,1.62151,1.91477,1.53357,0.7544,0.78419,0.80068,0.28908,2.20592,2.03376,1.96649,0.000820032,0.000820032,0.000820032
63,904.048,1.60273,1.8021,1.51418,0.77923,0.75652,0.82525,0.3324,2.06345,1.97541,1.87993,0.000806147,0.000806147,0.000806147
64,917.783,1.63596,1.88842,1.54437,0.83424,0.72902,0.81319,0.30637,2.19296,2.13443,1.95863,0.000792263,0.000792263,0.000792263
65,932.011,1.60339,1.8903,1.53109,0.82517,0.72316,0.80797,0.30404,2.2413,2.15129,1.96756,0.000778378,0.000778378,0.000778378
66,949.152,1.61805,1.89892,1.53896,0.82038,0.77026,0.84294,0.34231,2.06823,1.96595,1.91967,0.000764493,0.000764493,0.000764493
67,964.386,1.58953,1.83384,1.50665,0.83794,0.71241,0.80475,0.2816,2.30828,2.07163,2.049,0.000750608,0.000750608,0.000750608
68,977.869,1.58971,1.84359,1.52407,0.82582,0.7457,0.8245,0.30361,2.16856,1.97734,1.96707,0.000736724,0.000736724,0.000736724
69,991.441,1.59524,1.85006,1.52461,0.80714,0.73437,0.82651,0.31313,2.17803,1.96901,1.98633,0.000722839,0.000722839,0.000722839
70,1005.1,1.59645,1.82809,1.52122,0.79934,0.79542,0.83816,0.33981,2.08705,1.88962,1.91286,0.000708954,0.000708954,0.000708954
71,1018.62,1.57938,1.78933,1.50132,0.79017,0.71315,0.78916,0.29484,2.25061,2.04852,2.03946,0.00069507,0.00069507,0.00069507
72,1032.47,1.60106,1.87088,1.53081,0.77674,0.73923,0.79862,0.30085,2.1895,1.9549,2.00255,0.000681185,0.000681185,0.000681185
73,1046.95,1.53726,1.7405,1.48524,0.77968,0.77647,0.79935,0.30375,2.17869,1.96048,1.99848,0.0006673,0.0006673,0.0006673
74,1060.44,1.5725,1.81048,1.50224,0.75425,0.78772,0.82255,0.3201,2.17321,1.97021,1.98045,0.000653415,0.000653415,0.000653415
75,1073.93,1.56863,1.78747,1.50336,0.79698,0.70614,0.77403,0.2903,2.24887,2.0261,2.03077,0.000639531,0.000639531,0.000639531
76,1087.32,1.54437,1.75914,1.48518,0.8392,0.74897,0.82037,0.32219,2.13003,1.91759,1.95872,0.000625646,0.000625646,0.000625646
77,1100.75,1.56649,1.77435,1.48186,0.80048,0.78539,0.82551,0.29956,2.26817,2.02411,2.03767,0.000611761,0.000611761,0.000611761
78,1114.2,1.52341,1.72776,1.46822,0.81909,0.73606,0.81032,0.30868,2.19276,1.96904,2.03204,0.000597876,0.000597876,0.000597876
79,1127.59,1.53364,1.74624,1.49769,0.78015,0.75662,0.81081,0.31731,2.16055,1.92208,2.01289,0.000583992,0.000583992,0.000583992
80,1141.05,1.53026,1.76687,1.485,0.79337,0.72594,0.80045,0.31534,2.21294,1.98332,2.06123,0.000570107,0.000570107,0.000570107
81,1154.53,1.5042,1.71883,1.47528,0.83523,0.71776,0.81707,0.32673,2.16007,1.94487,2.00463,0.000556222,0.000556222,0.000556222
82,1168.05,1.52716,1.70672,1.46878,0.76578,0.72927,0.79795,0.30452,2.22754,1.91433,2.02151,0.000542338,0.000542338,0.000542338
83,1183.79,1.51653,1.6722,1.45308,0.84427,0.71052,0.82454,0.31566,2.14773,1.91616,1.98023,0.000528453,0.000528453,0.000528453
84,1197.6,1.55466,1.77316,1.48974,0.80074,0.76196,0.83033,0.3309,2.10506,1.89533,1.95928,0.000514568,0.000514568,0.000514568
85,1211.1,1.50629,1.68618,1.46257,0.81118,0.74105,0.82434,0.30379,2.19347,1.87592,2.02901,0.000500683,0.000500683,0.000500683
86,1224.61,1.50491,1.66545,1.46258,0.80648,0.74938,0.8308,0.31087,2.15173,1.86548,2.02954,0.000486799,0.000486799,0.000486799
87,1238.16,1.49073,1.6762,1.4595,0.76956,0.77166,0.81148,0.2773,2.32443,1.9987,2.13415,0.000472914,0.000472914,0.000472914
88,1251.61,1.505,1.64806,1.44917,0.8402,0.74349,0.83545,0.31043,2.17302,1.93936,1.99409,0.000459029,0.000459029,0.000459029
89,1265.08,1.45201,1.56978,1.42675,0.82675,0.75328,0.82835,0.30776,2.21183,1.9271,2.02697,0.000445145,0.000445145,0.000445145
90,1278.53,1.44685,1.57932,1.40873,0.81396,0.74157,0.80978,0.31378,2.17871,1.89309,2.03156,0.00043126,0.00043126,0.00043126
91,1292.01,1.45404,1.56514,1.40455,0.76667,0.77899,0.81042,0.31165,2.20587,1.91087,2.06052,0.000417375,0.000417375,0.000417375
