epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,300.105,1.78201,2.42275,1.45432,0.75981,0.71934,0.77362,0.32017,1.99089,2.27906,1.56236,0.00121158,0.00121158,0.00121158
43,306.84,1.76854,2.43209,1.45173,0.77675,0.68744,0.77217,0.29507,2.08813,2.38398,1.60875,0.00120047,0.00120047,0.00120047
44,313.516,1.77661,2.39599,1.4603,0.73541,0.72752,0.76988,0.2947,2.02776,2.31548,1.59256,0.00118937,0.00118937,0.00118937
45,320.045,1.7904,2.37768,1.46524,0.7681,0.68856,0.76639,0.29199,2.07677,2.29971,1.61712,0.00117826,0.00117826,0.00117826
46,326.699,1.77086,2.39318,1.45399,0.81807,0.69207,0.77254,0.29415,2.04681,2.2841,1.58735,0.00116715,0.00116715,0.00116715
47,333.454,1.77587,2.4103,1.45275,0.7539,0.72418,0.77087,0.3142,2.00111,2.26496,1.57461,0.00115604,0.00115604,0.00115604
48,340.694,1.80133,2.39391,1.47638,0.75119,0.75391,0.77834,0.31263,2.00026,2.24317,1.55562,0.00114493,0.00114493,0.00114493
49,347.563,1.76919,2.31444,1.44585,0.80664,0.70225,0.7726,0.30874,1.99686,2.29588,1.55754,0.00113383,0.00113383,0.00113383
50,354.375,1.72196,2.23646,1.41178,0.82244,0.71902,0.79394,0.32315,2.0087,2.19079,1.55702,0.00112272,0.00112272,0.00112272
51,361.148,1.78359,2.29537,1.45888,0.81169,0.73807,0.80827,0.32814,2.01139,2.20251,1.54485,0.00111161,0.00111161,0.00111161
52,367.872,1.78277,2.30577,1.4496,0.80735,0.72912,0.78255,0.29297,2.10218,2.26869,1.58714,0.0011005,0.0011005,0.0011005
53,374.753,1.72952,2.1625,1.42234,0.83309,0.74842,0.8223,0.33844,2.025,2.11379,1.54714,0.0010894,0.0010894,0.0010894
54,381.472,1.75174,2.22799,1.43382,0.7446,0.78235,0.7999,0.31929,2.03862,2.14466,1.54999,0.00107829,0.00107829,0.00107829
55,388.253,1.74343,2.24471,1.43037,0.82003,0.73706,0.8205,0.32914,1.98219,2.15764,1.53518,0.00106718,0.00106718,0.00106718
56,395.38,1.76192,2.32889,1.43984,0.76657,0.71359,0.79132,0.3158,2.03653,2.23405,1.55653,0.00105607,0.00105607,0.00105607
57,402.157,1.71864,2.25022,1.42864,0.8212,0.77016,0.83766,0.34825,1.95598,2.05458,1.5105,0.00104496,0.00104496,0.00104496
58,409.051,1.71777,2.177,1.42317,0.85082,0.72068,0.81788,0.30853,2.09867,2.13217,1.58527,0.00103386,0.00103386,0.00103386
59,415.804,1.74477,2.13804,1.41483,0.8469,0.75955,0.83591,0.34278,1.97933,2.10018,1.52936,0.00102275,0.00102275,0.00102275
60,422.966,1.73861,2.17449,1.40975,0.7997,0.75546,0.81384,0.33619,1.98301,2.17823,1.51282,0.00101164,0.00101164,0.00101164
61,429.803,1.69326,2.14727,1.39243,0.78763,0.7476,0.81088,0.34265,1.97431,2.14331,1.51582,0.00100053,0.00100053,0.00100053
62,436.643,1.6736,2.10694,1.38753,0.81806,0.72775,0.79715,0.32887,2.01848,2.10997,1.53426,0.000989426,0.000989426,0.000989426
63,443.395,1.71107,2.16134,1.40003,0.80291,0.75675,0.81414,0.33639,1.99891,2.11503,1.53639,0.000978318,0.000978318,0.000978318
64,450.487,1.68948,2.1125,1.3869,0.82898,0.74085,0.82467,0.34794,1.97941,2.0502,1.52696,0.00096721,0.00096721,0.00096721
