epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,203.972,1.37997,2.35962,2.70694,1.13176,0.52811,0.31418,0.32856,0.21396,0.56585,0.29317,0.31557,0.16811,1.35295,2.34395,2.51327,1.15923,0.00134487,0.00134487,0.00134487
31,210.19,1.42283,2.44334,2.75042,1.15452,0.59539,0.30251,0.32798,0.21218,0.58278,0.30022,0.31977,0.16711,1.41751,2.40882,2.54001,1.17608,0.00133377,0.00133377,0.00133377
32,216.462,1.35854,2.34276,2.58784,1.12867,0.54347,0.31623,0.3266,0.21121,0.60223,0.2841,0.31552,0.16316,1.41282,2.35388,2.5281,1.17135,0.00132266,0.00132266,0.00132266
33,222.648,1.43169,2.44455,2.76814,1.15919,0.53613,0.31212,0.32661,0.21054,0.51022,0.27533,0.30458,0.15977,1.35345,2.41549,2.55583,1.15603,0.00131155,0.00131155,0.00131155
34,228.834,1.38897,2.38052,2.70991,1.14452,0.56199,0.31651,0.33229,0.20679,0.51871,0.28761,0.3047,0.1593,1.39288,2.40864,2.47595,1.15773,0.00130044,0.00130044,0.00130044
35,234.951,1.3957,2.36336,2.66272,1.12407,0.56032,0.31652,0.33398,0.2124,0.55453,0.29492,0.31334,0.16147,1.36868,2.44512,2.43528,1.15133,0.00128934,0.00128934,0.00128934
36,241.002,1.37585,2.33433,2.63403,1.12609,0.54042,0.3193,0.3382,0.21421,0.63979,0.28205,0.32162,0.16927,1.32263,2.40238,2.4115,1.1391,0.00127823,0.00127823,0.00127823
37,247.159,1.38643,2.37931,2.6393,1.13897,0.57959,0.3095,0.33731,0.21592,0.55914,0.29461,0.32083,0.1719,1.3446,2.35421,2.43082,1.14781,0.00126712,0.00126712,0.00126712
38,253.405,1.36432,2.33627,2.54196,1.12915,0.5763,0.29751,0.33364,0.21064,0.52935,0.28525,0.31182,0.15822,1.37904,2.3953,2.50983,1.15549,0.00125601,0.00125601,0.00125601
39,259.454,1.36862,2.32767,2.57345,1.12327,0.55511,0.31564,0.33517,0.21408,0.51071,0.3031,0.31754,0.16029,1.35842,2.33314,2.46509,1.1491,0.0012449,0.0012449,0.0012449
40,265.693,1.37276,2.36453,2.54537,1.13069,0.65006,0.30485,0.33238,0.21165,0.62311,0.2958,0.3198,0.16801,1.3373,2.28983,2.39814,1.1386,0.0012338,0.0012338,0.0012338
41,272.257,1.42099,2.40297,2.59059,1.13239,0.62326,0.31332,0.33404,0.21794,0.6006,0.30771,0.32241,0.17238,1.32923,2.28229,2.37394,1.12805,0.00122269,0.00122269,0.00122269
42,278.526,1.32367,2.33925,2.51637,1.10315,0.58914,0.3095,0.33224,0.21698,0.57388,0.29433,0.3155,0.1672,1.35078,2.24556,2.38143,1.13176,0.00121158,0.00121158,0.00121158
43,284.957,1.38442,2.44833,2.6424,1.12725,0.60633,0.29725,0.32483,0.21008,0.55702,0.28587,0.30888,0.1603,1.33789,2.24479,2.49976,1.13705,0.00120047,0.00120047,0.00120047
44,291.488,1.34403,2.36176,2.59948,1.126,0.64182,0.29868,0.33001,0.21382,0.60479,0.29199,0.31778,0.16637,1.32589,2.28618,2.39663,1.14474,0.00118937,0.00118937,0.00118937
45,297.904,1.37473,2.40525,2.58171,1.1312,0.68327,0.2986,0.33335,0.21498,0.63287,0.29098,0.31951,0.17116,1.31538,2.27068,2.3411,1.14193,0.00117826,0.00117826,0.00117826
46,304.369,1.34755,2.34683,2.50415,1.12457,0.68589,0.29825,0.33493,0.2151,0.64438,0.28931,0.31622,0.16557,1.28612,2.23335,2.37673,1.12837,0.00116715,0.00116715,0.00116715
47,313.27,1.31466,2.35729,2.44551,1.10452,0.54341,0.31828,0.32899,0.21016,0.53787,0.30952,0.31749,0.16621,1.33207,2.19714,2.43319,1.13662,0.00115604,0.00115604,0.00115604
48,319.69,1.28938,2.20577,2.41605,1.08987,0.58622,0.31359,0.33036,0.21148,0.56116,0.30658,0.31968,0.16962,1.30013,2.1928,2.37951,1.1262,0.00114493,0.00114493,0.00114493
49,326.213,1.31869,2.30036,2.43868,1.09823,0.63969,0.30423,0.33369,0.21591,0.61914,0.29344,0.32368,0.17143,1.29934,2.22618,2.37013,1.11984,0.00113383,0.00113383,0.00113383
50,332.647,1.30616,2.30994,2.4006,1.09935,0.60191,0.31966,0.33859,0.21613,0.56639,0.30542,0.32238,0.17001,1.32162,2.25876,2.36198,1.13053,0.00112272,0.00112272,0.00112272
51,339.021,1.29487,2.22638,2.35252,1.08907,0.61376,0.31306,0.33747,0.21568,0.57161,0.30454,0.32389,0.16491,1.3514,2.3206,2.37321,1.14309,0.00111161,0.00111161,0.00111161
52,345.435,1.31025,2.2835,2.37268,1.08877,0.63532,0.31592,0.34585,0.21561,0.594,0.28748,0.32101,0.15896,1.37296,2.43661,2.38266,1.1576,0.0011005,0.0011005,0.0011005
53,351.969,1.33701,2.32373,2.41291,1.10458,0.59353,0.32703,0.3476,0.2199,0.55887,0.30018,0.32517,0.16903,1.3587,2.38355,2.32705,1.14033,0.0010894,0.0010894,0.0010894
54,358.648,1.30661,2.29464,2.37511,1.09752,0.62947,0.30628,0.33683,0.21457,0.62295,0.29117,0.31988,0.156,1.30862,2.33205,2.3076,1.12226,0.00107829,0.00107829,0.00107829
55,364.891,1.2653,2.15439,2.27525,1.06884,0.6225,0.30005,0.33622,0.2194,0.60576,0.29022,0.32605,0.16296,1.30894,2.30336,2.32017,1.13567,0.00106718,0.00106718,0.00106718
56,371.46,1.2675,2.27656,2.28667,1.08349,0.62035,0.30219,0.34246,0.22211,0.63768,0.28354,0.32949,0.17642,1.32975,2.24432,2.35838,1.14869,0.00105607,0.00105607,0.00105607
57,377.948,1.29966,2.28693,2.37804,1.1049,0.52422,0.31329,0.34401,0.22467,0.52066,0.3011,0.33179,0.17236,1.33621,2.26969,2.39753,1.15292,0.00104496,0.00104496,0.00104496
