epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,280.217,1.77368,2.35735,1.46663,0.76753,0.6879,0.75189,0.29473,2.08633,2.30012,1.61625,0.00109801,0.00109801,0.00109801
43,286.326,1.77467,2.30518,1.47188,0.78079,0.7424,0.80101,0.32781,1.98057,2.1768,1.57385,0.00108413,0.00108413,0.00108413
44,292.434,1.74506,2.3015,1.45136,0.73784,0.71247,0.7455,0.27888,2.0829,2.33017,1.62407,0.00107026,0.00107026,0.00107026
45,298.563,1.73064,2.29518,1.43135,0.79668,0.71214,0.79838,0.32565,2.00191,2.23587,1.58654,0.00105638,0.00105638,0.00105638
46,304.835,1.7033,2.13267,1.42276,0.78589,0.7304,0.78781,0.30945,2.02081,2.21478,1.58177,0.0010425,0.0010425,0.0010425
47,311.155,1.72576,2.19779,1.41812,0.79582,0.74962,0.8088,0.32487,2.0493,2.19759,1.58339,0.00102862,0.00102862,0.00102862
48,317.423,1.74036,2.25493,1.45883,0.79643,0.72664,0.78917,0.30635,2.10884,2.23048,1.64558,0.00101474,0.00101474,0.00101474
49,323.789,1.74458,2.29839,1.466,0.78976,0.72401,0.80197,0.31335,2.06185,2.19046,1.62297,0.00100087,0.00100087,0.00100087
50,330.11,1.68253,2.1795,1.42526,0.79913,0.70263,0.78533,0.3113,2.11091,2.18766,1.62111,0.000986989,0.000986989,0.000986989
51,336.358,1.71842,2.15269,1.4394,0.81826,0.73589,0.80192,0.31091,2.05152,2.13872,1.61571,0.000973111,0.000973111,0.000973111
52,342.647,1.69422,2.17111,1.41123,0.77335,0.77684,0.81131,0.32156,2.05172,2.18943,1.61943,0.000959233,0.000959233,0.000959233
53,349.962,1.68836,2.20057,1.42422,0.85091,0.7526,0.81751,0.32346,2.02808,2.12637,1.62144,0.000945356,0.000945356,0.000945356
54,356.229,1.70621,2.11738,1.44,0.79626,0.76012,0.80291,0.31025,2.06016,2.10039,1.64542,0.000931478,0.000931478,0.000931478
55,362.945,1.70783,2.19331,1.43436,0.80965,0.70047,0.77367,0.30391,2.03651,2.1636,1.63768,0.0009176,0.0009176,0.0009176
56,370.502,1.71875,2.22954,1.44121,0.81225,0.75566,0.81763,0.32428,2.02703,2.13751,1.62211,0.000903722,0.000903722,0.000903722
57,377.423,1.67328,2.10612,1.42151,0.79526,0.75307,0.80217,0.3182,2.07972,2.23062,1.62789,0.000889845,0.000889845,0.000889845
58,383.712,1.65444,2.05222,1.39509,0.80536,0.74842,0.78842,0.29832,2.11701,2.18277,1.6531,0.000875967,0.000875967,0.000875967
59,391.32,1.72416,2.17054,1.43258,0.7969,0.74202,0.77432,0.29309,2.11312,2.14304,1.66622,0.000862089,0.000862089,0.000862089
60,398.227,1.66516,2.07002,1.40269,0.7449,0.73204,0.75847,0.27755,2.19579,2.26345,1.68607,0.000848211,0.000848211,0.000848211
61,404.465,1.70659,2.136,1.42115,0.81461,0.72426,0.80314,0.31414,2.08784,2.14487,1.61403,0.000834333,0.000834333,0.000834333
62,411.044,1.6865,2.17971,1.41608,0.82008,0.71199,0.77631,0.28133,2.20126,2.24723,1.6906,0.000820456,0.000820456,0.000820456
63,417.749,1.64921,2.00242,1.3914,0.78382,0.76991,0.81078,0.32055,2.05703,2.09156,1.60778,0.000806578,0.000806578,0.000806578
64,425.518,1.7028,2.08562,1.40515,0.78732,0.75328,0.82004,0.34213,2.00729,2.0602,1.56805,0.0007927,0.0007927,0.0007927
65,432.26,1.67853,2.06126,1.41336,0.8577,0.72858,0.8155,0.33432,2.00421,2.09083,1.58376,0.000778822,0.000778822,0.000778822
66,439.133,1.66388,2.06178,1.40775,0.82784,0.73422,0.8264,0.34731,1.96797,2.08494,1.56958,0.000764945,0.000764945,0.000764945
67,445.347,1.63685,1.99438,1.39133,0.77581,0.72893,0.79337,0.29412,2.17699,2.2305,1.69603,0.000751067,0.000751067,0.000751067
68,451.415,1.6831,2.04378,1.42176,0.77851,0.73817,0.78428,0.30079,2.08714,2.14801,1.64128,0.000737189,0.000737189,0.000737189
69,457.614,1.68844,2.07586,1.40925,0.79088,0.75774,0.80331,0.31543,2.05856,2.11037,1.63141,0.000723311,0.000723311,0.000723311
